international,age,semesters_completed,commute_distance_km,financial_need_score,housing_urgency_rating,grades,should_recieve_housing,HO,A1,A2,A3,A4
domestic,30,4,36.1,75.47,6.3,,1,1,1,1,0,1
domestic,20,4,31.5,63.82,5.8,5.79,1,1,0,1,0,1
domestic,22,5,8.4,69.71,4.3,2.19,0,0,1,1,0,0
international,25,6,68.3,72.07,7.5,80.0,1,1,1,1,1,1
domestic,21,6,40.3,60.03,8.1,5.36,1,1,0,1,0,1
domestic,20,1,3.2,59.13,6.3,4.43,1,1,0,0,1,1
domestic,25,6,5.1,37.56,3.8,4.3,0,0,0,0,0,0
international,23,2,19.5,68.27,5.2,1.7,1,1,1,1,1,1
domestic,24,2,11.5,47.18,7.1,5.74,1,1,0,0,1,0
domestic,27,7,5.1,32.39,2.6,5.92,0,0,0,0,0,0
domestic,23,3,0.6,57.83,4.5,5.89,0,0,0,0,0,0
domestic,27,5,19.1,71.15,5.3,4.54,1,1,1,1,1,0
domestic,30,4,21.3,69.73,6.8,4.9,1,1,1,1,1,1
international,34,6,36.0,59.02,3.6,79.2,0,0,0,0,0,0
international,23,2,36.5,82.51,6.2,27.1,1,1,1,1,0,1
domestic,28,3,6.4,39.2,3.4,5.42,0,0,0,0,0,0
domestic,34,10,24.5,44.97,4.9,4.76,0,0,0,0,0,0
domestic,30,10,12.1,20.39,2.5,4.7,0,0,0,0,0,0
domestic,27,4,15.5,65.92,6.2,4.27,1,1,0,1,1,1
international,19,0,42.2,78.89,8.6,83.4,1,1,1,1,1,1
domestic,23,5,5.4,32.12,2.2,3.96,0,0,0,0,0,0
domestic,28,10,28.2,61.77,7.1,3.56,1,1,0,1,0,0
domestic,22,2,8.4,85.54,6.1,5.36,1,1,1,1,1,1
international,23,6,38.6,72.22,7.2,1.9,0,1,1,1,0,1
domestic,32,10,10.0,56.68,2.4,2.58,0,0,0,0,0,0
domestic,21,5,60.6,80.74,8.4,5.04,1,1,1,1,1,1
domestic,27,9,12.3,52.54,2.0,4.41,0,0,0,0,0,0
domestic,20,4,13.0,69.56,5.5,4.85,0,1,1,1,1,1
domestic,26,4,2.5,51.01,4.3,3.12,0,0,0,0,0,0
domestic,22,2,13.0,77.89,4.1,3.34,0,1,1,1,1,1
domestic,24,4,6.8,83.17,6.5,3.11,1,1,1,1,1,1
domestic,20,2,23.6,61.06,3.2,3.93,1,0,0,0,0,0
domestic,26,8,11.1,51.39,5.9,5.56,0,0,0,0,0,0
international,22,5,12.7,47.43,5.4,45.8,0,0,0,0,0,0
domestic,26,6,19.2,29.64,4.5,4.57,0,0,0,0,0,0
domestic,33,6,8.2,60.52,3.0,5.87,0,0,0,0,0,0
domestic,30,8,0.1,33.81,1.1,4.91,0,0,0,0,0,0
domestic,33,11,43.0,34.48,2.1,3.66,0,0,0,0,0,0
domestic,28,9,1.3,61.3,4.9,5.65,0,0,0,0,0,0
domestic,38,11,34.5,56.67,3.0,4.62,0,0,0,0,0,0
domestic,27,9,9.7,64.93,4.0,4.67,0,0,0,0,0,0
international,26,7,46.2,40.09,4.5,2.5,0,0,0,0,0,0
international,25,9,50.1,33.43,5.5,5.3,0,0,0,0,0,0
domestic,26,5,10.9,49.51,4.9,5.21,0,0,0,0,0,0
domestic,21,1,21.0,84.0,7.6,3.06,1,1,1,1,1,1
international,30,4,5.3,58.66,1.9,1.9,0,0,0,0,0,0
domestic,20,1,4.7,69.94,4.9,3.72,1,1,1,1,1,1
domestic,25,11,18.2,19.38,2.9,4.23,0,0,0,0,0,0
international,26,9,59.8,83.1,8.0,2.9,1,1,1,1,1,1
domestic,24,4,20.5,65.93,3.8,4.71,0,0,0,0,0,0
domestic,25,5,11.8,68.93,5.1,5.11,1,1,1,1,1,0
domestic,21,1,13.1,61.7,3.0,4.02,0,0,0,0,0,0
international,22,2,39.7,80.33,6.2,85.5,1,1,1,1,0,1
domestic,21,5,23.9,50.85,7.3,5.03,1,1,0,0,1,0
international,25,7,6.1,58.01,4.6,73.5,0,0,0,1,0,0
domestic,35,10,31.5,27.44,3.0,3.11,0,0,0,0,0,0
domestic,36,9,21.1,65.11,5.5,4.84,0,0,0,1,0,0
domestic,28,8,8.8,55.19,4.3,4.9,0,0,0,0,0,0
domestic,23,4,3.7,61.59,6.3,1.34,0,1,0,1,1,1
domestic,24,8,21.5,64.41,4.1,4.74,0,0,0,0,0,0
domestic,30,9,17.5,51.93,4.4,5.49,0,0,0,0,0,0
domestic,24,4,1.9,56.76,4.1,3.98,0,0,0,0,0,0
domestic,22,3,0.0,57.78,4.0,4.69,0,0,0,0,0,0
domestic,23,1,28.8,39.14,6.1,,0,1,0,0,0,0
domestic,21,4,24.8,53.49,5.3,5.43,0,1,0,0,0,0
domestic,29,7,6.9,67.57,2.5,2.14,0,0,0,0,0,0
domestic,25,4,0.5,62.11,3.9,4.31,0,0,0,0,0,0
international,35,9,41.0,58.48,5.0,5.7,0,0,0,1,0,0
domestic,27,9,9.0,82.84,6.0,4.59,1,1,1,1,1,1
domestic,19,1,4.4,75.35,7.4,3.74,1,1,1,1,1,1
international,24,5,33.7,28.09,3.7,7.5,0,0,0,0,0,0
domestic,28,5,25.5,48.66,6.1,5.78,0,0,0,0,0,0
international,33,10,62.0,54.37,3.9,59.5,0,0,0,0,0,0
domestic,26,9,6.5,59.55,2.5,2.14,0,0,0,0,0,0
domestic,29,5,5.3,79.53,5.4,5.71,0,1,1,1,1,1
domestic,24,6,8.9,58.64,6.3,4.12,1,1,0,0,0,0
domestic,19,1,16.5,79.87,7.7,5.19,1,1,1,1,1,1
international,21,6,30.2,76.33,2.3,3.4,0,0,1,1,0,0
international,26,10,31.0,42.41,3.0,23.1,0,0,0,0,0,0
domestic,27,4,8.6,81.2,5.3,3.25,1,1,1,1,1,1
domestic,23,8,33.5,39.37,4.6,3.7,0,0,0,0,0,0
domestic,34,10,13.8,39.77,4.0,4.02,0,0,0,0,0,0
domestic,33,6,6.7,74.16,4.1,2.0,1,0,1,1,0,0
international,30,4,22.3,62.55,4.9,A,1,0,0,1,1,0
domestic,23,4,33.1,79.69,5.7,5.2,1,1,1,1,0,1
domestic,25,2,27.8,65.62,6.9,3.7,0,1,0,1,1,1
domestic,29,9,39.6,48.75,5.2,5.79,0,0,0,0,0,0
domestic,24,7,15.1,52.81,5.5,4.21,0,0,0,0,0,0
domestic,22,2,30.5,70.85,6.2,5.4,1,1,1,1,0,1
international,25,1,14.1,39.63,6.3,B,0,1,0,0,1,0
domestic,26,1,4.8,58.71,2.5,4.47,0,0,0,0,0,0
international,25,5,23.8,45.66,3.3,B,0,0,0,0,0,0
domestic,25,6,5.0,42.5,2.6,4.24,0,0,0,0,0,0
domestic,19,0,5.3,59.36,6.3,4.49,0,1,0,0,1,1
domestic,26,9,39.5,64.4,7.3,3.57,1,1,0,1,0,0
international,27,3,49.5,47.02,8.0,53.9,1,1,0,0,1,0
international,23,2,18.6,66.82,7.5,A,1,1,1,1,1,1
domestic,30,2,26.5,46.81,5.5,3.25,0,0,0,0,0,0
domestic,30,8,48.0,23.37,2.8,4.63,0,0,0,0,0,0
domestic,29,3,45.6,48.39,7.5,5.4,1,1,0,0,0,0
domestic,26,7,5.8,47.56,6.1,4.0,1,0,0,0,0,0
international,28,11,7.3,65.81,3.3,55.7,0,0,1,1,0,0
international,31,10,26.0,68.54,6.3,58.8,0,0,1,1,1,0
international,22,2,27.9,85.04,7.8,A,1,1,1,1,1,1
international,20,1,28.9,73.75,4.2,2.4,1,1,1,1,1,1
international,27,5,47.8,31.47,4.0,F,0,0,0,0,0,0
international,27,5,23.7,56.03,6.2,B,0,1,0,1,1,0
domestic,28,2,34.6,87.52,7.8,5.04,1,1,1,1,1,1
domestic,23,6,8.6,44.36,1.6,5.8,0,0,0,0,0,0
domestic,24,4,18.1,47.06,5.1,2.42,0,0,0,0,0,0
domestic,25,4,1.0,33.09,2.4,4.45,0,0,0,0,0,0
domestic,26,5,13.4,46.36,1.4,4.71,0,0,0,0,0,0
domestic,22,3,6.4,70.36,5.4,3.53,1,1,1,1,1,1
international,29,5,39.5,61.02,4.0,3.4,0,0,0,1,0,0
domestic,26,9,13.7,79.4,6.5,4.91,1,1,1,1,1,1
domestic,21,5,0.4,59.0,6.2,5.09,0,1,0,0,0,1
domestic,32,11,20.9,49.02,4.0,3.45,0,0,0,0,0,0
domestic,20,2,2.4,60.0,4.6,3.48,0,1,0,0,0,0
domestic,21,2,29.3,28.54,5.4,5.22,0,0,0,0,0,0
domestic,24,7,14.6,60.19,5.7,,0,1,0,0,0,0
domestic,19,2,13.8,72.95,7.5,,1,1,1,1,1,1
domestic,29,4,29.4,54.84,5.2,3.98,1,0,0,0,0,0
international,23,3,9.0,61.18,6.6,5.4,1,1,0,1,1,1
domestic,26,1,2.8,57.2,4.2,2.93,0,0,0,0,0,0
domestic,24,7,29.3,74.87,7.1,3.19,1,1,1,1,1,1
domestic,30,4,10.6,76.52,6.6,2.53,1,1,1,1,1,1
international,26,4,10.6,75.84,7.1,1.9,1,1,1,1,1,1
domestic,22,3,18.1,47.57,4.0,4.01,0,0,0,0,0,0
international,28,5,17.7,77.22,3.8,,0,0,1,1,1,0
domestic,27,7,31.2,25.45,4.0,3.04,0,0,0,0,0,0
domestic,27,7,8.0,79.43,5.8,5.14,1,1,1,1,1,1
domestic,23,4,41.6,60.26,6.3,3.1,1,1,0,1,0,0
domestic,20,2,23.8,55.54,5.9,3.95,1,1,0,0,1,0
domestic,20,4,2.8,69.46,5.0,3.39,1,1,1,1,1,1
domestic,25,7,27.8,46.46,4.5,3.0,0,0,0,0,0,0
domestic,20,4,2.2,45.52,4.7,3.69,0,0,0,0,0,0
domestic,27,4,2.4,39.91,2.5,4.62,0,0,0,0,0,0
domestic,32,10,33.2,41.56,3.6,4.7,0,0,0,0,0,0
domestic,25,5,5.6,83.44,3.6,2.67,1,0,1,1,1,1
domestic,29,5,33.9,28.93,3.2,4.0,0,0,0,0,0,0
domestic,30,4,2.1,54.91,4.5,5.94,0,0,0,0,0,0
international,28,9,20.8,56.98,5.5,3.4,0,0,0,1,0,0
international,30,5,10.5,36.04,2.9,41.2,0,0,0,0,0,0
domestic,21,2,19.4,74.64,5.6,4.98,1,1,1,1,1,1
domestic,21,1,16.6,52.43,4.4,5.12,0,0,0,0,0,0
domestic,21,3,13.4,68.77,6.8,5.01,1,1,1,1,1,1
domestic,23,7,18.7,42.35,4.6,4.58,0,0,0,0,0,0
domestic,19,0,3.5,54.86,3.5,5.29,0,0,0,0,0,0
domestic,27,3,17.1,21.26,4.4,3.2,0,0,0,0,0,0
domestic,20,4,14.2,71.96,6.3,5.02,1,1,1,1,1,1
domestic,23,5,16.3,47.57,4.3,3.99,0,0,0,0,0,0
domestic,25,6,9.4,58.72,4.3,4.83,0,0,0,0,0,0
domestic,25,10,5.0,84.51,3.9,5.75,0,0,1,1,0,0
domestic,26,7,14.4,56.39,6.5,5.88,1,1,0,0,0,0
international,27,8,39.5,87.36,6.3,A,1,1,1,1,1,1
domestic,21,0,49.2,77.7,8.7,3.4,1,1,1,1,1,1
domestic,20,2,7.2,68.77,6.0,5.21,1,1,1,1,1,1
international,26,6,47.5,48.39,5.7,,0,0,0,0,0,0
domestic,22,7,26.1,62.75,7.2,3.67,0,1,0,1,1,1
domestic,32,6,21.0,59.82,3.3,4.19,0,0,0,0,0,0
domestic,21,4,5.4,61.47,5.8,3.26,1,1,0,1,1,1
domestic,25,5,21.0,75.62,4.3,4.77,0,0,1,1,1,0
domestic,21,6,1.7,63.73,3.8,3.78,0,0,0,0,0,0
domestic,28,8,5.9,58.71,4.4,4.57,0,0,0,0,0,0
domestic,20,4,15.5,64.99,5.0,2.96,0,1,0,1,0,1
international,39,11,49.4,35.37,2.3,A,0,0,0,0,0,0
international,36,9,29.3,41.1,2.7,2.2,0,0,0,0,0,0
domestic,21,1,24.3,57.16,4.9,5.73,0,1,0,0,0,0
domestic,30,4,9.0,63.35,5.5,5.47,1,0,0,1,1,0
domestic,26,3,9.5,48.88,1.1,2.85,0,0,0,0,0,0
domestic,24,4,11.0,57.31,5.2,1.96,0,0,0,0,0,0
international,25,7,21.4,67.85,5.5,C,0,1,1,1,1,0
domestic,20,0,13.1,60.18,5.8,4.95,1,1,0,0,1,1
domestic,25,7,39.8,50.13,5.0,4.49,0,0,0,0,0,0
domestic,31,11,33.9,27.92,3.1,5.43,0,0,0,0,0,0
domestic,21,6,5.5,40.99,5.8,2.97,0,0,0,0,0,0
domestic,21,3,2.9,46.99,4.5,3.39,0,0,0,0,0,0
domestic,29,7,12.0,34.21,4.3,,0,0,0,0,0,0
domestic,22,4,8.5,54.69,6.9,4.65,0,1,0,0,1,0
domestic,27,7,18.9,60.16,2.5,4.12,0,0,0,0,0,0
domestic,31,7,26.6,57.47,1.3,4.99,0,0,0,0,0,0
domestic,22,2,4.1,45.8,3.4,5.05,0,0,0,0,0,0
domestic,20,4,26.3,72.03,6.2,5.97,1,1,1,1,1,1
domestic,36,8,40.4,47.83,3.3,5.0,0,0,0,0,0,0
domestic,23,3,1.7,62.38,3.3,4.15,0,0,0,0,0,0
international,24,5,24.2,53.91,4.9,B,1,0,0,0,0,0
domestic,36,6,15.6,43.37,2.1,4.34,0,0,0,0,0,0
domestic,20,2,2.6,58.34,3.0,4.71,0,0,0,0,0,0
domestic,29,9,2.2,62.79,2.9,4.53,0,0,0,0,0,0
domestic,28,9,0.3,63.42,2.6,5.66,0,0,0,0,0,0
domestic,23,7,29.3,58.17,6.4,5.0,0,1,0,0,0,0
international,25,2,40.7,75.92,6.3,4.6,1,1,1,1,1,1
domestic,35,8,9.8,11.03,2.8,4.52,0,0,0,0,0,0
international,21,4,16.6,66.31,4.7,4.8,0,1,1,1,0,0
domestic,29,5,9.8,35.92,5.2,4.71,0,0,0,0,0,0
domestic,28,3,0.6,41.71,3.5,3.16,0,0,0,0,0,0
international,29,7,2.5,67.18,2.0,86.8,0,0,1,1,0,0
domestic,34,10,6.2,39.86,3.8,5.62,0,0,0,0,0,0
domestic,24,2,20.0,66.89,4.8,2.24,1,1,0,1,1,0
domestic,34,7,12.1,26.22,2.2,4.14,0,0,0,0,0,0
international,23,6,35.9,51.71,5.6,8.0,1,0,0,0,0,0
international,31,7,26.9,39.28,5.1,94.5,0,0,0,0,0,0
domestic,20,2,11.1,51.43,4.2,5.21,0,0,0,0,0,0
domestic,25,4,16.1,45.39,6.0,3.53,1,0,0,0,0,0
domestic,27,8,19.2,43.14,3.0,4.25,0,0,0,0,0,0
international,24,2,25.3,70.7,5.1,A,0,1,1,1,1,1
domestic,29,7,40.0,52.39,4.4,5.47,0,0,0,0,0,0
international,28,7,8.8,39.67,1.5,A,0,0,0,0,0,0
domestic,25,6,32.7,30.17,2.5,4.9,0,0,0,0,0,0
domestic,27,7,4.0,38.96,3.9,4.99,0,0,0,0,0,0
domestic,30,5,18.4,36.92,5.6,4.71,0,0,0,0,0,0
international,27,9,51.2,79.87,8.4,,1,1,1,1,1,1
domestic,22,7,7.1,26.91,2.8,4.0,0,0,0,0,0,0
international,23,6,29.6,39.89,5.3,7.5,0,0,0,0,0,0
domestic,23,1,39.1,42.95,3.0,5.71,0,0,0,0,0,0
international,23,7,22.1,61.48,6.0,A,1,1,0,1,0,0
domestic,26,8,9.1,66.09,5.0,5.29,0,0,0,1,0,0
domestic,31,9,32.4,36.13,2.6,4.79,0,0,0,0,0,0
international,21,2,49.3,67.76,7.3,3.1,1,1,1,1,0,1
domestic,20,1,10.9,55.75,7.4,5.03,1,1,0,0,1,1
domestic,26,3,3.2,35.96,2.6,3.83,0,0,0,0,0,0
international,21,1,51.1,59.23,7.5,4.1,1,1,0,1,0,1
domestic,21,5,0.2,53.12,3.9,4.62,0,0,0,0,0,0
domestic,24,6,12.6,70.61,6.5,5.44,1,1,1,1,1,1
international,23,5,13.9,75.39,4.6,2.3,1,1,1,1,0,1
domestic,24,4,24.6,47.99,4.0,4.7,0,0,0,0,0,0
domestic,23,6,8.1,45.64,5.5,2.69,0,0,0,0,0,0
international,24,10,10.9,82.9,5.5,9.4,0,1,1,1,0,1
international,24,8,12.1,74.68,5.6,79.7,0,1,1,1,0,1
international,23,5,12.6,56.9,4.4,7.2,0,0,0,0,0,0
domestic,23,2,9.5,78.44,9.2,3.94,1,1,1,1,1,1
domestic,22,4,15.3,33.11,1.5,3.42,0,0,0,0,0,0
domestic,32,11,25.7,74.49,4.7,4.03,0,0,1,1,0,0
domestic,24,8,10.0,39.96,4.0,4.41,0,0,0,0,0,0
domestic,26,6,26.5,74.2,6.0,4.87,1,1,1,1,1,1
domestic,27,7,2.9,73.81,6.9,4.59,1,1,1,1,1,1
domestic,28,5,29.4,40.09,4.9,5.12,0,0,0,0,0,0
domestic,22,2,13.7,53.67,4.9,4.67,0,0,0,0,0,0
domestic,31,7,18.5,22.12,2.5,4.35,0,0,0,0,0,0
international,22,4,60.8,65.69,8.5,83.1,1,1,1,1,0,1
domestic,23,4,5.6,60.24,2.5,5.43,0,0,0,0,0,0
domestic,32,8,20.6,73.71,2.8,2.89,0,0,1,1,0,0
domestic,34,5,5.1,14.82,0.5,4.31,0,0,0,0,0,0
domestic,27,4,0.7,61.82,6.6,4.33,0,1,0,1,1,1
domestic,29,7,0.6,63.36,3.9,5.21,0,0,0,0,0,0
domestic,31,8,41.2,87.5,6.9,5.04,1,1,1,1,1,1
domestic,23,8,6.5,52.08,4.0,3.67,0,0,0,0,0,0
domestic,22,6,11.0,23.63,5.2,5.06,0,0,0,0,0,0
international,23,8,23.1,49.88,3.3,3.0,0,0,0,0,0,0
international,32,10,22.0,72.73,3.2,7.4,0,0,1,1,0,0
domestic,23,3,13.2,28.28,1.9,5.13,0,0,0,0,0,0
domestic,21,5,30.7,32.51,2.7,5.46,0,0,0,0,0,0
domestic,35,7,30.5,23.06,2.2,4.91,0,0,0,0,0,0
domestic,24,6,22.3,59.08,5.1,2.77,0,0,0,0,0,0
international,25,7,24.9,64.36,3.6,C,0,0,0,1,0,0
domestic,23,4,2.4,57.0,3.3,3.3,0,0,0,0,0,0
domestic,20,4,1.8,54.87,2.6,2.99,0,0,0,0,0,0
domestic,25,8,3.3,28.02,2.8,4.08,0,0,0,0,0,0
domestic,23,7,2.5,44.24,3.4,2.63,0,0,0,0,0,0
domestic,26,6,8.5,85.45,4.4,,1,0,1,1,1,1
domestic,27,4,16.3,66.93,5.7,5.51,1,1,0,1,1,0
domestic,23,3,50.9,66.93,7.8,5.94,1,1,0,1,1,1
domestic,24,7,12.5,31.7,2.4,3.47,0,0,0,0,0,0
domestic,33,9,11.5,49.43,3.6,5.13,0,0,0,0,0,0
domestic,25,4,5.1,33.04,4.2,5.42,0,0,0,0,0,0
domestic,22,8,8.4,32.76,5.3,4.46,0,0,0,0,0,0
international,21,2,20.5,59.53,3.6,3.3,0,0,0,1,0,0
domestic,35,8,8.9,56.43,3.2,5.22,0,0,0,0,0,0
domestic,21,4,10.9,73.43,5.2,3.58,0,1,1,1,1,1
international,25,4,33.8,66.85,6.2,,0,1,1,1,1,1
domestic,24,4,19.2,72.6,7.0,3.25,1,1,1,1,1,1
domestic,30,10,21.2,35.11,3.5,4.07,0,0,0,0,0,0
international,21,1,23.1,58.57,7.3,9.0,1,1,0,1,1,1
domestic,29,7,25.7,32.83,2.9,4.1,0,0,0,0,0,0
domestic,22,2,5.9,30.04,6.6,,0,1,0,0,0,0
international,21,0,4.2,71.87,4.0,49.2,1,1,1,1,1,1
domestic,28,7,26.6,30.25,4.8,4.59,0,0,0,0,0,0
domestic,30,9,9.4,18.54,2.8,3.57,0,0,0,0,0,0
international,22,2,28.2,81.55,7.7,5.1,1,1,1,1,1,1
domestic,23,3,13.1,64.23,4.3,4.2,0,0,0,0,0,0
domestic,26,5,5.1,43.8,4.7,3.37,0,0,0,0,0,0
domestic,24,3,20.5,45.76,5.4,5.08,0,0,0,0,0,0
domestic,23,2,14.5,53.47,6.6,5.65,1,1,0,0,1,0
domestic,29,9,22.7,60.54,4.3,3.42,0,0,0,0,0,0
domestic,27,2,15.9,37.51,2.0,4.43,0,0,0,0,0,0
domestic,27,4,25.3,64.31,5.7,4.94,1,1,0,1,1,0
domestic,28,10,1.7,64.42,2.1,2.16,0,0,0,0,0,0
international,30,6,21.3,57.5,4.9,5.0,0,0,0,1,1,0
domestic,31,4,12.3,63.91,4.6,4.57,0,0,0,0,0,0
domestic,24,7,25.4,33.39,2.7,5.78,0,0,0,0,0,0
domestic,25,7,13.4,75.67,7.9,3.88,1,1,1,1,1,1
domestic,26,8,15.7,57.07,4.0,5.02,0,0,0,0,0,0
domestic,26,8,5.3,51.2,6.4,4.35,1,0,0,0,0,0
domestic,26,8,26.1,51.85,4.5,,0,0,0,0,0,0
international,22,1,44.3,84.38,6.4,C,1,1,1,1,1,1
international,27,6,28.7,85.8,7.5,1.9,1,1,1,1,1,1
domestic,28,5,20.2,56.64,3.7,,0,0,0,0,0,0
domestic,31,8,15.7,43.13,6.1,3.72,0,0,0,0,0,0
domestic,21,1,6.0,78.59,8.0,5.55,1,1,1,1,1,1
domestic,22,6,18.8,72.27,8.4,2.59,0,1,1,1,1,1
domestic,21,6,12.5,57.53,2.7,4.81,0,0,0,0,0,0
international,31,8,48.7,50.14,7.0,5.9,0,0,0,0,0,0
international,34,5,13.6,71.73,5.6,2.1,0,0,1,1,1,0
domestic,26,8,30.9,56.7,5.4,,0,0,0,0,0,0
domestic,25,10,19.4,60.34,4.4,5.46,0,0,0,0,0,0
international,23,7,31.7,59.69,2.6,49.9,0,0,0,0,0,0
domestic,34,7,1.0,59.4,1.9,3.5,0,0,0,0,0,0
domestic,23,2,16.7,54.6,6.6,3.51,1,1,0,0,1,0
domestic,25,4,16.4,19.89,3.6,5.49,0,0,0,0,0,0
international,34,10,36.9,27.28,3.5,55.8,0,0,0,0,0,0
domestic,22,3,3.1,65.5,4.8,5.07,1,1,0,1,0,0
domestic,23,2,20.0,27.93,3.8,5.2,0,0,0,0,0,0
international,22,4,22.2,58.09,2.9,16.9,0,0,0,0,0,0
domestic,23,5,3.4,67.99,5.8,4.26,0,1,0,1,1,1
international,23,3,41.6,47.11,4.4,89.7,0,0,0,0,0,0
domestic,21,6,25.9,22.99,1.5,4.64,0,0,0,0,0,0
domestic,28,8,36.6,55.19,3.6,4.12,0,0,0,0,0,0
domestic,21,1,2.8,49.26,3.7,3.93,0,0,0,0,0,0
domestic,34,9,24.6,49.88,6.4,5.56,0,0,0,0,0,0
domestic,29,5,11.1,58.46,2.9,2.64,0,0,0,0,0,0
domestic,25,7,12.5,91.35,8.6,5.63,1,1,1,1,1,1
domestic,26,7,8.2,68.24,1.5,3.61,0,0,0,0,0,0
domestic,33,11,52.1,70.98,3.8,4.49,0,0,1,1,0,0
international,24,5,26.1,54.76,4.4,3.8,0,0,0,0,0,0
international,23,5,29.6,52.98,5.0,87.2,0,0,0,0,0,0
international,20,1,5.7,72.62,9.0,17.9,1,1,1,1,1,1
domestic,31,11,0.9,25.73,1.9,3.15,0,0,0,0,0,0
domestic,26,9,21.9,46.22,5.1,5.6,1,0,0,0,0,0
domestic,21,2,21.7,61.89,6.6,4.05,0,1,0,1,1,1
international,19,2,2.1,69.95,5.4,87.5,1,1,1,1,1,1
domestic,26,4,8.5,54.46,4.8,5.6,0,0,0,0,0,0
domestic,27,4,7.2,48.96,5.0,4.61,0,0,0,0,0,0
domestic,27,10,11.9,73.95,3.0,4.94,0,0,1,1,0,0
domestic,24,10,16.5,45.29,5.4,3.43,0,0,0,0,0,0
domestic,25,1,24.2,57.57,6.0,4.32,1,1,0,0,1,0
domestic,32,8,12.7,23.6,2.7,5.73,0,0,0,0,0,0
domestic,32,8,7.6,43.1,5.5,5.75,0,0,0,0,0,0
domestic,25,10,24.9,70.31,4.7,,0,0,1,1,0,0
domestic,29,7,21.7,49.94,4.5,4.27,0,0,0,0,0,0
domestic,21,6,7.0,39.63,4.2,4.59,0,0,0,0,0,0
domestic,31,9,9.9,33.76,3.9,5.16,0,0,0,0,0,0
domestic,20,0,14.7,32.18,3.5,4.59,0,0,0,0,0,0
domestic,29,4,15.5,73.25,5.8,4.83,1,1,1,1,1,1
domestic,26,6,4.5,36.84,5.0,5.54,0,0,0,0,0,0
international,29,6,24.4,62.99,6.4,2.2,1,1,0,1,1,0
international,25,6,8.9,60.89,6.6,4.8,1,1,0,1,1,0
domestic,27,8,30.6,54.46,4.0,,0,0,0,0,0,0
